Product Id,Product Name,Product Varies? Yes/No,Parent Product,Variant Name,Variant ID,SKU,Inventory ID,Barcode,Taxonomy,On Hand Quantity,Sales Channels
1998523,"XL / Vintage Green Premium Crew Neck ""Pursuit of Sweetness""",No,,,,xl-vintage-green-premium-crew-neck-pursuit-of-swee-93db84b4546c297,11847248,,,0,Shopify
1998521,Honey Bunches Creamer Stick Pack (1 ct),No,,,,904,11847250,812064030677,,0,Shopify
1998520,French Toast Creamer Stick Pack (1 ct),No,,,,903,11847251,,,0,Shopify
1998517,Salted Caramel Collagen Creamer Stick Pack (1 ct),No,,,,909,11847255,,,0,Shopify
1998516,White Chocolate Mocha Collagen Creamer Stick Pack (1 ct),No,,,,908,11847256,,,0,Shopify
1998515,Fruit Loops Creamer Stick Pack (1 ct),No,,,,901,11847257,812064030646,,0,Shopify
1998514,Creamer Bundle,No,,,,39908214997070,11847258,,,0,Shopify
1998513,Honey Bunches,No,,,,115,11934939,812064030721,,0,Shopify
1998512,1-Pack Fruity Cereal Less-Carb Oatmeal,No,,,,1-pack-fruity-cereal-less-carb-oatmeal,11934941,812064030417,,0,Shopify
1998510,$200.00 USD Gift Card,No,,,,40094366990414,12538245,,,0,Shopify
1998509,$150.00 USD Gift Card,No,,,,40094366957646,12538246,,,0,Shopify
1998506,Less-Carb French Toast Oatmeal,No,,,,less-carb-french-toast-oatmeal,12538260,,,0,Shopify
1998505,Classic French Toast Oatmeal,No,,,,classic-french-toast-oatmeal,12538261,,,0,Shopify
1998503,Individual Serving Size Sachet Original,No,,,,individual-serving-size-sachet-original,12840198,40155924627534,,0,Shopify
1998502,Sachet 10-pack Birthday Cake 10.00% Off Auto renew,No,,,,sachet-10-pack-birthday-cake-10-00-off-auto-renew,13238742,,,0,Shopify
1998501,Single Serve Sachet (1 ct) Birthday Cake 10.00% Off Auto renew,No,,,,single-serve-sachet-1-ct-birthday-cake-10-00-off-a-16f00fbb081b380,13238743,,,0,Shopify
1998500,Large Bag Birthday Cake 10.00% Off Auto renew,No,,,,large-bag-birthday-cake-10-00-off-auto-renew-1-2-3-db8ce993f857caa-6,13238744,,,0,Shopify
1998499,Single Serve Sachet (1 ct) Original 10.00% Off Auto renew,No,,,,single-serve-sachet-1-ct-original-10-00-off-auto-r-965db7c97b407aa,13238745,,,0,Shopify
1998498,Small Bag Original 10.00% Off Auto renew,No,,,,small-bag-original-10-00-off-auto-renew,13238746,,,0,Shopify
1998497,Large bag Original 10.00% Off Auto renew,No,,,,large-bag-original-10-00-off-auto-renew-1-2-3-4-5--95ac91630f878cd-7,13238747,,,0,Shopify
1998496,Single Serve 10-Pack Butter Pecan 10.00% Off Auto renew,No,,,,single-serve-10-pack-butter-pecan-10-00-off-auto-r-7308164af5e2deb,13238748,,,0,Shopify
1998495,Single Serve Sachet (1 ct) Butter Pecan 10.00% Off Auto renew,No,,,,single-serve-sachet-1-ct-butter-pecan-10-00-off-au-1a500030eb8e3e8,13238749,,,0,Shopify
1998494,Large bag Butter Pecan 10.00% Off Auto renew,No,,,,large-bag-butter-pecan-10-00-off-auto-renew-1-2-3,13238750,,,0,Shopify
1998493,3-Pack Whole (36oz) Cinnamon Pecan Coffee Beans 10.00% Off Auto renew,No,,,,3-pack-whole-36oz-cinnamon-pecan-coffee-beans-10-0-e48b9428a19c0be,13238751,,,0,Shopify
1998492,3-Pack Ground (36oz) Cinnamon Pecan Coffee Beans 10.00% Off Auto renew,No,,,,3-pack-ground-36oz-cinnamon-pecan-coffee-beans-10--66ac11a257e8739,13238752,,,0,Shopify
1998491,K-cup (20 pods) Cinnamon Pecan Coffee Beans 10.00% Off Auto renew,No,,,,k-cup-20-pods-cinnamon-pecan-coffee-beans-10-00-of-6184cf324bae313-1,13238753,,,0,Shopify
1998490,Whole (12oz) Cinnamon Pecan Coffee Beans 10.00% Off Auto renew,No,,,,whole-12oz-cinnamon-pecan-coffee-beans-10-00-off-a-dcadbddcc64e20d-1,13238754,,,0,Shopify
1998489,Ground (12oz) Cinnamon Pecan Coffee Beans 10.00% Off Auto renew,No,,,,ground-12oz-cinnamon-pecan-coffee-beans-10-00-off--a6e91dd4ebda300-1,13238755,,,0,Shopify
1998488,3-Pack Ground (36oz) Hazelnut Mocha Coffee Beans 10.00% Off Auto renew,No,,,,3-pack-ground-36oz-hazelnut-mocha-coffee-beans-10--c1e4804e7c9ce4e,13238756,,,0,Shopify
1998487,3-Pack Whole (36oz) Hazelnut Mocha Coffee Beans 10.00% Off Auto renew,No,,,,3-pack-whole-36oz-hazelnut-mocha-coffee-beans-10-0-0292471bc1bbbad,13238757,,,0,Shopify
1998485,Whole (12oz) Hazelnut Mocha Coffee Beans 10.00% Off Auto renew,No,,,,whole-12oz-hazelnut-mocha-coffee-beans-10-00-off-a-8f395349f864596-1,13238759,,,0,Shopify
1998484,Ground (12oz) Hazelnut Mocha Coffee Beans 10.00% Off Auto renew,No,,,,ground-12oz-hazelnut-mocha-coffee-beans-10-00-off--177f902515c8695-1,13238760,,,0,Shopify
1998483,3-Pack Ground (36oz) House Blend Coffee Beans 10.00% Off Auto renew,No,,,,3-pack-ground-36oz-house-blend-coffee-beans-10-00--59619b44d4449f8,13238761,,,0,Shopify
1998482,3-Pack Whole (36oz) House Blend Coffee Beans 10.00% Off Auto renew,No,,,,3-pack-whole-36oz-house-blend-coffee-beans-10-00-o-db97a4d07711661,13238762,,,0,Shopify
1998481,K-cup (20 pods) House Blend Coffee Beans 10.00% Off Auto renew,No,,,,k-cup-20-pods-house-blend-coffee-beans-10-00-off-a-9fa1b0481f28a96,13238763,,,0,Shopify
1998480,Whole (12oz) House Blend Coffee Beans 10.00% Off Auto renew,No,,,,whole-12oz-house-blend-coffee-beans-10-00-off-auto-ad537799d7fb30e-1,13238764,,,0,Shopify
1998479,Ground (12oz) House Blend Coffee Beans 10.00% Off Auto renew,No,,,,ground-12oz-house-blend-coffee-beans-10-00-off-aut-444399aa73f5959-1,13238765,,,0,Shopify
